50 300 15 30
C 240 0.1
10 4 14.7 200 1000 2000 30 1 2 10.0 5.4
27 5 24.5 200 1000 2000 16 2 4 18.2 12.6 9.8
12 6 16.7 200 1000 2000 24 1 2 10.0 5.4
17 18 25.5 200 1000 2000 31 1 2 7.0 3.8
18 31 43.9 200 1000 2000 15 1 2 12.0 6.4
21 32 37.4 200 1000 2000 17 1 2 5.0 2.7
21 32 41.6 200 1000 2000 20 1 2 9.0 4.8
19 47 57.7 200 1000 2000 3 1 2 10.0 5.4
23 50 70.1 200 1000 2000 5 2 4 18.8 13.0 10.1
13 61 71.7 200 1000 2000 21 1 2 10.0 5.4
14 64 76.9 200 1000 2000 13 1 2 12.0 6.4
31 66 88.7 200 1000 2000 17 4 6 16.4 13.4 11.4
12 67 83.1 200 1000 2000 38 1 2 15.0 8.0
23 74 98.1 200 1000 2000 13 2 4 22.5 15.6 12.1
12 77 88.8 200 1000 2000 39 1 2 11.0 5.9
23 84 109.3 200 1000 2000 15 2 4 23.6 16.4 12.6
21 87 97.7 200 1000 2000 1 1 2 10.0 5.4
16 89 95.4 200 1000 2000 35 1 2 6.0 3.2
38 89 109.3 200 1000 2000 1 4 6 14.6 12.0 10.2
10 91 104.9 200 1000 2000 10 1 2 13.0 7.0
13 105 114.6 200 1000 2000 8 1 2 9.0 4.8
21 112 125.2 200 1000 2000 11 2 4 12.3 8.6 6.6
19 113 120.5 200 1000 2000 13 1 2 7.0 3.8
26 121 144.0 200 1000 2000 21 2 4 21.4 14.9 11.5
29 124 141.2 200 1000 2000 15 2 4 16.1 11.2 8.6
17 126 137.8 200 1000 2000 20 1 2 11.0 5.9
12 127 133.4 200 1000 2000 10 1 2 6.0 3.2
40 155 177.7 200 1000 2000 6 4 6 16.4 13.4 11.4
23 159 171.6 200 1000 2000 11 2 4 11.8 8.2 6.3
29 168 181.2 200 1000 2000 8 2 4 12.3 8.6 6.6
