Solution:
Vessel 1, length: 10, position: 53, start: 2, end: 9, ncranes: 2, cranes: 9 10
Vessel 2, length: 23, position: 11, start: 3, end: 17, ncranes: 3, cranes: 3 4 5
Vessel 3, length: 19, position: 34, start: 5, end: 13, ncranes: 2, cranes: 6 7
Vessel 4, length: 10, position: 1, start: 10, end: 16, ncranes: 2, cranes: 1 2
Vessel 5, length: 28, position: 53, start: 10, end: 20, ncranes: 3, cranes: 8 9 10
Vessel 6, length: 21, position: 72, start: 46.144, end: 55.144, ncranes: 3, cranes: 8 9 10
Vessel 7, length: 19, position: 1, start: 19, end: 28, ncranes: 1, cranes: 1
Vessel 8, length: 19, position: 20, start: 89.119, end: 95.119, ncranes: 2, cranes: 1 2
Vessel 9, length: 36, position: 65, start: 24, end: 39, ncranes: 4, cranes: 7 8 9 10
Vessel 10, length: 12, position: 53, start: 25, end: 32, ncranes: 2, cranes: 5 6
Vessel 11, length: 15, position: 38, start: 26, end: 30, ncranes: 2, cranes: 2 3
Vessel 12, length: 21, position: 38, start: 32.144, end: 38.144, ncranes: 2, cranes: 5 6
Vessel 13, length: 17, position: 12, start: 32, end: 36, ncranes: 2, cranes: 3 4
Vessel 14, length: 25, position: 20, start: 38.31, end: 51.31, ncranes: 3, cranes: 3 4 5
Vessel 15, length: 10, position: 29, start: 95.237, end: 99.237, ncranes: 2, cranes: 1 2
Vessel 16, length: 18, position: 2, start: 36, end: 41, ncranes: 1, cranes: 2
Vessel 17, length: 26, position: 59, start: 40, end: 46, ncranes: 4, cranes: 7 8 9 10
Vessel 18, length: 11, position: 9, start: 42, end: 47, ncranes: 2, cranes: 1 2
Vessel 19, length: 27, position: 45, start: 47, end: 64, ncranes: 2, cranes: 6 7
Vessel 20, length: 34, position: 11, start: 51.429, end: 63.429, ncranes: 5, cranes: 1 2 3 4 5
Vessel 21, length: 29, position: 72, start: 55.26, end: 66.26, ncranes: 3, cranes: 8 9 10
Vessel 22, length: 15, position: 51, start: 64.1, end: 68.1, ncranes: 2, cranes: 5 6
Vessel 23, length: 29, position: 66, start: 66.385, end: 72.385, ncranes: 4, cranes: 7 8 9 10
Vessel 24, length: 20, position: 2, start: 63.596, end: 67.596, ncranes: 2, cranes: 1 2
