120 300 11 20
34 2 10 200 1000 2000 114 2 5 11 7 6 5
15 4 10 200 1000 2000 12 2 5 9 6 5 4
19 12 21 200 1000 2000 105 2 5 15 10 8 6
16 12 18 200 1000 2000 87 2 5 9 6 5 4
33 13 25 200 1000 2000 32 2 5 19 13 10 8
16 14 29 200 1000 2000 118 2 5 23 16 12 10
35 20 34 200 1000 2000 13 2 5 21 14 11 9
28 22 33 200 1000 2000 28 2 5 17 12 9 7
24 46 54 200 1000 2000 112 2 5 12 8 6 5
26 54 62 200 1000 2000 69 2 5 11 8 6 5
23 59 73 200 1000 2000 73 2 5 21 14 11 9
27 69 83 200 1000 2000 12 2 5 21 14 11 9
25 90 99 200 1000 2000 45 2 5 13 9 7 6
22 113 122 200 1000 2000 15 2 5 14 10 7 6
26 121 135 200 1000 2000 101 2 5 21 14 11 9
31 127 132 200 1000 2000 15 2 5 8 5 4 3
31 135 144 200 1000 2000 56 2 5 13 9 7 6
31 147 162 200 1000 2000 14 2 5 24 16 12 10
15 150 158 200 1000 2000 88 2 5 12 8 6 5
23 165 176 200 1000 2000 116 2 5 17 11 9 7
