120 300 11 30
15 5 14 200 1000 2000 112 2 5 14 10 7 6
23 27 35 200 1000 2000 2 2 5 12 8 6 5
34 32 40 200 1000 2000 101 2 5 12 8 6 5
25 36 42 200 1000 2000 117 2 5 8 6 4 4
20 49 55 200 1000 2000 6 2 5 8 6 4 4
27 54 60 200 1000 2000 103 2 5 9 6 5 4
25 57 68 200 1000 2000 116 2 5 16 11 8 7
21 66 75 200 1000 2000 30 2 5 14 10 7 6
20 71 82 200 1000 2000 86 2 5 18 12 9 7
20 73 79 200 1000 2000 36 2 5 10 7 5 4
20 82 87 200 1000 2000 63 2 5 7 5 4 3
17 95 110 200 1000 2000 64 2 5 24 16 12 10
19 97 103 200 1000 2000 31 2 5 9 6 5 4
27 101 112 200 1000 2000 26 2 5 17 12 9 7
26 106 121 200 1000 2000 7 2 5 24 16 12 10
35 110 119 200 1000 2000 85 2 5 15 10 8 6
33 118 124 200 1000 2000 21 2 5 10 7 5 4
31 118 129 200 1000 2000 30 2 5 16 11 8 7
28 120 129 200 1000 2000 43 2 5 15 10 8 6
26 123 129 200 1000 2000 85 2 5 10 7 5 4
31 129 140 200 1000 2000 7 2 5 16 11 8 7
24 134 140 200 1000 2000 120 2 5 9 6 5 4
29 135 146 200 1000 2000 61 2 5 17 11 9 7
17 136 141 200 1000 2000 50 2 5 6 4 3 3
30 143 155 200 1000 2000 82 2 5 20 13 10 8
24 144 152 200 1000 2000 24 2 5 11 8 6 5
25 151 160 200 1000 2000 78 2 5 15 10 8 6
16 156 165 200 1000 2000 2 2 5 14 9 7 6
21 161 166 200 1000 2000 10 2 5 8 5 4 3
30 170 176 200 1000 2000 31 2 5 10 7 5 4
