Solution:
Vessel 1, length: 19, position: 75, start: 9, end: 15, ncranes: 2, cranes: 6 7
Vessel 2, length: 8, position: 30, start: 12, end: 17, ncranes: 2, cranes: 3 4
Vessel 3, length: 10, position: 41, start: 17, end: 22, ncranes: 1, cranes: 5
Vessel 4, length: 20, position: 51, start: 18, end: 26, ncranes: 2, cranes: 9 10
Vessel 5, length: 14, position: 10, start: 21, end: 27, ncranes: 1, cranes: 1
Vessel 6, length: 8, position: 66, start: 26, end: 32, ncranes: 1, cranes: 9
Vessel 7, length: 21, position: 74, start: 27, end: 32, ncranes: 1, cranes: 10
Vessel 8, length: 26, position: 40, start: 27, end: 36, ncranes: 3, cranes: 6 7 8
Vessel 9, length: 39, position: 1, start: 29, end: 40, ncranes: 5, cranes: 1 2 3 4 5
Vessel 10, length: 13, position: 88, start: 33, end: 40, ncranes: 2, cranes: 9 10
Vessel 11, length: 24, position: 55, start: 36, end: 49, ncranes: 3, cranes: 6 7 8
Vessel 12, length: 22, position: 79, start: 40, end: 63, ncranes: 2, cranes: 9 10
Vessel 13, length: 35, position: 33, start: 56, end: 69, ncranes: 4, cranes: 5 6 7 8
Vessel 14, length: 21, position: 34, start: 40, end: 50, ncranes: 1, cranes: 5
Vessel 15, length: 28, position: 6, start: 41, end: 51, ncranes: 4, cranes: 1 2 3 4
Vessel 16, length: 32, position: 1, start: 51, end: 66, ncranes: 4, cranes: 1 2 3 4
Vessel 17, length: 13, position: 48, start: 50, end: 55, ncranes: 2, cranes: 5 6
Vessel 18, length: 15, position: 64, start: 49, end: 56, ncranes: 2, cranes: 7 8
Vessel 19, length: 26, position: 68, start: 64, end: 73, ncranes: 2, cranes: 9 10
Vessel 20, length: 24, position: 33, start: 69, end: 75, ncranes: 4, cranes: 5 6 7 8
Vessel 21, length: 25, position: 8, start: 66, end: 71, ncranes: 4, cranes: 1 2 3 4
Vessel 22, length: 9, position: 16, start: 71, end: 78, ncranes: 2, cranes: 1 2
Vessel 23, length: 8, position: 25, start: 72, end: 77, ncranes: 2, cranes: 3 4
Vessel 24, length: 17, position: 33, start: 75, end: 80, ncranes: 2, cranes: 9 10
Vessel 25, length: 10, position: 15, start: 78, end: 84, ncranes: 2, cranes: 1 2
Vessel 26, length: 38, position: 25, start: 81, end: 92, ncranes: 5, cranes: 3 4 5 6 7
Vessel 27, length: 26, position: 63, start: 82, end: 95, ncranes: 3, cranes: 8 9 10
Vessel 28, length: 12, position: 10, start: 84, end: 88, ncranes: 2, cranes: 1 2
Vessel 29, length: 19, position: 5, start: 88, end: 92, ncranes: 2, cranes: 1 2
Vessel 30, length: 22, position: 5, start: 92, end: 102, ncranes: 3, cranes: 1 2 3
Vessel 31, length: 15, position: 27, start: 92, end: 99, ncranes: 2, cranes: 4 5
Vessel 32, length: 21, position: 42, start: 92, end: 100, ncranes: 2, cranes: 6 7
Vessel 33, length: 20, position: 63, start: 95, end: 99, ncranes: 2, cranes: 9 10
Vessel 34, length: 22, position: 5, start: 102, end: 116, ncranes: 3, cranes: 1 2 3
Vessel 35, length: 35, position: 1, start: 123, end: 133, ncranes: 5, cranes: 1 2 3 4 5
Vessel 36, length: 24, position: 52, start: 100, end: 105, ncranes: 4, cranes: 7 8 9 10
Vessel 37, length: 25, position: 27, start: 100, end: 116, ncranes: 3, cranes: 4 5 6
Vessel 38, length: 10, position: 73, start: 105, end: 109, ncranes: 2, cranes: 9 10
Vessel 39, length: 21, position: 52, start: 105, end: 127, ncranes: 2, cranes: 7 8
Vessel 40, length: 10, position: 4, start: 116, end: 122, ncranes: 2, cranes: 1 2
Vessel 41, length: 26, position: 73, start: 111, end: 119, ncranes: 2, cranes: 9 10
Vessel 42, length: 18, position: 14, start: 116, end: 123, ncranes: 2, cranes: 3 4
Vessel 43, length: 20, position: 32, start: 116, end: 122, ncranes: 2, cranes: 5 6
Vessel 44, length: 18, position: 73, start: 119, end: 123, ncranes: 2, cranes: 9 10
Vessel 45, length: 9, position: 36, start: 122, end: 132, ncranes: 1, cranes: 6
Vessel 46, length: 20, position: 81, start: 126, end: 134, ncranes: 2, cranes: 9 10
Vessel 47, length: 20, position: 73, start: 123, end: 126, ncranes: 2, cranes: 9 10
Vessel 48, length: 14, position: 67, start: 127, end: 131, ncranes: 2, cranes: 7 8
Vessel 49, length: 16, position: 16, start: 133, end: 137, ncranes: 2, cranes: 1 2
Vessel 50, length: 24, position: 35, start: 134, end: 141, ncranes: 3, cranes: 3 4 5
Vessel 51, length: 34, position: 67, start: 136, end: 148, ncranes: 5, cranes: 6 7 8 9 10
Vessel 52, length: 11, position: 24, start: 138, end: 145, ncranes: 2, cranes: 1 2
Vessel 53, length: 8, position: 59, start: 141, end: 148, ncranes: 2, cranes: 4 5
Vessel 54, length: 25, position: 27, start: 148, end: 157, ncranes: 4, cranes: 5 6 7 8
Vessel 55, length: 26, position: 1, start: 145, end: 154, ncranes: 3, cranes: 1 2 3
Vessel 56, length: 11, position: 84, start: 148, end: 154, ncranes: 1, cranes: 9
Vessel 57, length: 9, position: 18, start: 158, end: 163, ncranes: 2, cranes: 3 4
Vessel 58, length: 17, position: 1, start: 158, end: 163, ncranes: 2, cranes: 1 2
Vessel 59, length: 28, position: 28, start: 161, end: 177, ncranes: 3, cranes: 5 6 7
Vessel 60, length: 18, position: 77, start: 167, end: 172, ncranes: 1, cranes: 10
