Solution:
Vessel 1, length: 14, position: 2, start: 1, end: 6, ncranes: 2, cranes: 1 2
Vessel 2, length: 9, position: 56, start: 3, end: 11, ncranes: 2, cranes: 7 8
Vessel 3, length: 27, position: 16, start: 3, end: 10, ncranes: 4, cranes: 3 4 5 6
Vessel 4, length: 10, position: 77, start: 5, end: 13, ncranes: 2, cranes: 9 10
Vessel 5, length: 33, position: 9, start: 10, end: 25, ncranes: 4, cranes: 1 2 3 4
Vessel 6, length: 20, position: 77, start: 13, end: 18, ncranes: 2, cranes: 9 10
Vessel 7, length: 35, position: 42, start: 12, end: 26, ncranes: 4, cranes: 5 6 7 8
Vessel 8, length: 24, position: 7, start: 25, end: 36, ncranes: 4, cranes: 1 2 3 4
Vessel 9, length: 30, position: 40, start: 55, end: 65, ncranes: 5, cranes: 1 2 3 4 5
Vessel 10, length: 14, position: 81, start: 19, end: 22, ncranes: 2, cranes: 9 10
Vessel 11, length: 25, position: 54, start: 26, end: 37, ncranes: 2, cranes: 8 9
Vessel 12, length: 16, position: 81, start: 22, end: 25, ncranes: 2, cranes: 9 10
Vessel 13, length: 23, position: 31, start: 26, end: 40, ncranes: 3, cranes: 5 6 7
Vessel 14, length: 31, position: 70, start: 55, end: 68, ncranes: 5, cranes: 6 7 8 9 10
Vessel 15, length: 16, position: 80, start: 28, end: 34, ncranes: 1, cranes: 10
Vessel 16, length: 21, position: 10, start: 36, end: 43, ncranes: 2, cranes: 3 4
Vessel 17, length: 27, position: 31, start: 40, end: 49, ncranes: 4, cranes: 5 6 7 8
Vessel 18, length: 13, position: 58, start: 37, end: 44, ncranes: 1, cranes: 9
Vessel 19, length: 12, position: 79, start: 34, end: 46, ncranes: 1, cranes: 10
Vessel 20, length: 9, position: 1, start: 36, end: 44, ncranes: 2, cranes: 1 2
Vessel 21, length: 10, position: 3, start: 44, end: 51, ncranes: 2, cranes: 1 2
Vessel 22, length: 9, position: 18, start: 43, end: 47, ncranes: 2, cranes: 3 4
Vessel 23, length: 25, position: 37, start: 49, end: 55, ncranes: 4, cranes: 3 4 5 6
Vessel 24, length: 17, position: 78, start: 46, end: 53, ncranes: 2, cranes: 9 10
Vessel 25, length: 16, position: 62, start: 50, end: 55, ncranes: 2, cranes: 7 8
Vessel 26, length: 21, position: 48, start: 68, end: 75, ncranes: 2, cranes: 7 8
Vessel 27, length: 39, position: 8, start: 65, end: 77, ncranes: 5, cranes: 1 2 3 4 5
Vessel 28, length: 14, position: 69, start: 68, end: 73, ncranes: 2, cranes: 9 10
Vessel 29, length: 27, position: 47, start: 75, end: 79, ncranes: 4, cranes: 7 8 9 10
Vessel 30, length: 9, position: 90, start: 80, end: 87, ncranes: 2, cranes: 9 10
Vessel 31, length: 25, position: 1, start: 81, end: 98, ncranes: 3, cranes: 1 2 3
Vessel 32, length: 30, position: 71, start: 90, end: 105, ncranes: 3, cranes: 8 9 10
Vessel 33, length: 29, position: 26, start: 83, end: 91, ncranes: 4, cranes: 4 5 6 7
Vessel 34, length: 19, position: 64, start: 87, end: 90, ncranes: 2, cranes: 8 9
Vessel 35, length: 23, position: 36, start: 91, end: 101, ncranes: 3, cranes: 5 6 7
Vessel 36, length: 10, position: 26, start: 91, end: 98, ncranes: 1, cranes: 4
Vessel 37, length: 23, position: 13, start: 98, end: 108, ncranes: 4, cranes: 1 2 3 4
Vessel 38, length: 23, position: 48, start: 102, end: 119, ncranes: 3, cranes: 5 6 7
Vessel 39, length: 20, position: 80, start: 108, end: 115, ncranes: 2, cranes: 9 10
Vessel 40, length: 9, position: 71, start: 110, end: 115, ncranes: 1, cranes: 8
Vessel 41, length: 16, position: 5, start: 111, end: 117, ncranes: 2, cranes: 1 2
Vessel 42, length: 27, position: 21, start: 111, end: 119, ncranes: 2, cranes: 3 4
Vessel 43, length: 13, position: 53, start: 120, end: 126, ncranes: 1, cranes: 7
Vessel 44, length: 10, position: 34, start: 120, end: 128, ncranes: 2, cranes: 3 4
Vessel 45, length: 9, position: 25, start: 125, end: 130, ncranes: 2, cranes: 1 2
Vessel 46, length: 13, position: 74, start: 126, end: 131, ncranes: 1, cranes: 9
Vessel 47, length: 16, position: 58, start: 126, end: 132, ncranes: 1, cranes: 5
Vessel 48, length: 25, position: 11, start: 130, end: 141, ncranes: 4, cranes: 1 2 3 4
Vessel 49, length: 19, position: 82, start: 133, end: 141, ncranes: 2, cranes: 9 10
Vessel 50, length: 28, position: 54, start: 137, end: 142, ncranes: 4, cranes: 5 6 7 8
Vessel 51, length: 17, position: 83, start: 141, end: 149, ncranes: 2, cranes: 9 10
Vessel 52, length: 18, position: 24, start: 143, end: 151, ncranes: 2, cranes: 3 4
Vessel 53, length: 19, position: 64, start: 143, end: 150, ncranes: 2, cranes: 7 8
Vessel 54, length: 16, position: 4, start: 144, end: 149, ncranes: 2, cranes: 1 2
Vessel 55, length: 18, position: 53, start: 150, end: 157, ncranes: 2, cranes: 8 9
Vessel 56, length: 11, position: 42, start: 145, end: 153, ncranes: 2, cranes: 5 6
Vessel 57, length: 21, position: 21, start: 151, end: 163, ncranes: 4, cranes: 1 2 3 4
Vessel 58, length: 29, position: 53, start: 157, end: 172, ncranes: 3, cranes: 8 9 10
Vessel 59, length: 30, position: 5, start: 163, end: 176, ncranes: 5, cranes: 1 2 3 4 5
Vessel 60, length: 8, position: 45, start: 159, end: 167, ncranes: 2, cranes: 6 7
