Solution:
Vessel 1, length: 9, position: 20, start: 3, end: 12, ncranes: 1, cranes: 1
Vessel 2, length: 23, position: 36, start: 4, end: 11, ncranes: 3, cranes: 2 3 4
Vessel 3, length: 22, position: 59, start: 6, end: 14, ncranes: 4, cranes: 5 6 7 8
Vessel 4, length: 11, position: 81, start: 7, end: 12, ncranes: 2, cranes: 9 10
Vessel 5, length: 11, position: 83, start: 12, end: 18, ncranes: 2, cranes: 9 10
Vessel 6, length: 22, position: 1, start: 15, end: 24, ncranes: 4, cranes: 1 2 3 4
Vessel 7, length: 12, position: 44, start: 16, end: 23, ncranes: 2, cranes: 7 8
Vessel 8, length: 21, position: 23, start: 20, end: 24, ncranes: 2, cranes: 5 6
Vessel 9, length: 33, position: 28, start: 24, end: 34, ncranes: 6, cranes: 2 3 4 5 6 7
Vessel 10, length: 30, position: 26, start: 34, end: 44, ncranes: 4, cranes: 2 3 4 5
Vessel 11, length: 30, position: 56, start: 34, end: 49, ncranes: 4, cranes: 6 7 8 9
Vessel 12, length: 27, position: 61, start: 29, end: 34, ncranes: 3, cranes: 8 9 10
Vessel 13, length: 14, position: 9, start: 31, end: 37, ncranes: 1, cranes: 1
Vessel 14, length: 10, position: 86, start: 34, end: 48, ncranes: 1, cranes: 10
Vessel 15, length: 24, position: 26, start: 44, end: 55, ncranes: 4, cranes: 1 2 3 4
Vessel 16, length: 15, position: 84, start: 52, end: 60, ncranes: 2, cranes: 9 10
Vessel 17, length: 21, position: 1, start: 57, end: 63, ncranes: 2, cranes: 1 2
Vessel 18, length: 35, position: 49, start: 59, end: 69, ncranes: 6, cranes: 3 4 5 6 7 8
Vessel 19, length: 25, position: 47, start: 69, end: 81, ncranes: 4, cranes: 4 5 6 7
Vessel 20, length: 10, position: 84, start: 66, end: 73, ncranes: 2, cranes: 9 10
Vessel 21, length: 11, position: 17, start: 68, end: 73, ncranes: 2, cranes: 1 2
Vessel 22, length: 19, position: 28, start: 69, end: 80, ncranes: 1, cranes: 3
Vessel 23, length: 29, position: 72, start: 73, end: 84, ncranes: 3, cranes: 8 9 10
Vessel 24, length: 8, position: 18, start: 73, end: 77, ncranes: 2, cranes: 1 2
Vessel 25, length: 21, position: 48, start: 81, end: 86, ncranes: 2, cranes: 4 5
Vessel 26, length: 10, position: 69, start: 84, end: 89, ncranes: 2, cranes: 9 10
Vessel 27, length: 21, position: 3, start: 84, end: 90, ncranes: 2, cranes: 1 2
Vessel 28, length: 21, position: 72, start: 93, end: 97, ncranes: 2, cranes: 9 10
Vessel 29, length: 18, position: 71, start: 97, end: 100, ncranes: 2, cranes: 9 10
Vessel 30, length: 16, position: 26, start: 95, end: 100, ncranes: 2, cranes: 2 3
Vessel 31, length: 23, position: 42, start: 96, end: 109, ncranes: 4, cranes: 5 6 7 8
Vessel 32, length: 21, position: 65, start: 100, end: 103, ncranes: 2, cranes: 9 10
Vessel 33, length: 38, position: 4, start: 100, end: 113, ncranes: 4, cranes: 1 2 3 4
Vessel 34, length: 15, position: 65, start: 103, end: 107, ncranes: 2, cranes: 9 10
Vessel 35, length: 21, position: 75, start: 107, end: 115, ncranes: 2, cranes: 9 10
Vessel 36, length: 25, position: 46, start: 109, end: 115, ncranes: 4, cranes: 5 6 7 8
Vessel 37, length: 28, position: 73, start: 115, end: 122, ncranes: 4, cranes: 7 8 9 10
Vessel 38, length: 22, position: 51, start: 115, end: 122, ncranes: 4, cranes: 3 4 5 6
Vessel 39, length: 8, position: 40, start: 116, end: 123, ncranes: 2, cranes: 1 2
Vessel 40, length: 16, position: 39, start: 123, end: 128, ncranes: 2, cranes: 2 3
Vessel 41, length: 8, position: 55, start: 125, end: 129, ncranes: 2, cranes: 8 9
Vessel 42, length: 14, position: 38, start: 128, end: 134, ncranes: 2, cranes: 1 2
Vessel 43, length: 32, position: 64, start: 135, end: 146, ncranes: 6, cranes: 5 6 7 8 9 10
Vessel 44, length: 20, position: 16, start: 140, end: 145, ncranes: 2, cranes: 1 2
Vessel 45, length: 30, position: 4, start: 151, end: 162, ncranes: 4, cranes: 1 2 3 4
Vessel 46, length: 21, position: 57, start: 146, end: 153, ncranes: 4, cranes: 7 8 9 10
Vessel 47, length: 30, position: 11, start: 145, end: 151, ncranes: 4, cranes: 1 2 3 4
Vessel 48, length: 16, position: 41, start: 147, end: 152, ncranes: 1, cranes: 6
Vessel 49, length: 16, position: 66, start: 153, end: 160, ncranes: 2, cranes: 9 10
Vessel 50, length: 32, position: 34, start: 153, end: 168, ncranes: 4, cranes: 5 6 7 8
Vessel 51, length: 21, position: 66, start: 160, end: 166, ncranes: 2, cranes: 9 10
Vessel 52, length: 11, position: 2, start: 162, end: 167, ncranes: 2, cranes: 1 2
Vessel 53, length: 28, position: 62, start: 174, end: 187, ncranes: 4, cranes: 6 7 8 9
Vessel 54, length: 14, position: 20, start: 163, end: 167, ncranes: 2, cranes: 3 4
Vessel 55, length: 8, position: 88, start: 166, end: 171, ncranes: 2, cranes: 9 10
Vessel 56, length: 15, position: 13, start: 167, end: 175, ncranes: 2, cranes: 2 3
Vessel 57, length: 28, position: 59, start: 168, end: 174, ncranes: 3, cranes: 6 7 8
Vessel 58, length: 11, position: 2, start: 167, end: 177, ncranes: 1, cranes: 1
Vessel 59, length: 14, position: 33, start: 173, end: 180, ncranes: 2, cranes: 4 5
Vessel 60, length: 13, position: 40, start: 168, end: 173, ncranes: 2, cranes: 4 5
