100 210 10 30
19 9 18 200 1000 2000 28 1 2 12 6
23 13 21 200 1000 2000 40 2 4 9 6 5
17 14 25 200 1000 2000 78 1 2 13 7
10 18 23 200 1000 2000 71 1 2 6 3
12 19 30 200 1000 2000 60 1 2 14 7
27 20 35 200 1000 2000 68 2 4 19 13 10
29 56 71 200 1000 2000 16 2 4 19 13 10
17 57 63 200 1000 2000 23 1 2 8 4
31 62 77 200 1000 2000 49 4 6 14 11 10
20 67 72 200 1000 2000 33 1 2 5 3
16 93 101 200 1000 2000 67 1 2 10 5
17 102 110 200 1000 2000 55 1 2 10 5
8 103 114 200 1000 2000 37 1 2 13 7
15 107 112 200 1000 2000 12 1 2 5 3
28 115 123 200 1000 2000 17 2 4 10 7 5
32 116 131 200 1000 2000 54 4 6 15 12 10
18 117 126 200 1000 2000 42 1 2 11 6
27 122 130 200 1000 2000 34 2 4 9 6 5
11 123 132 200 1000 2000 83 1 2 12 6
19 124 129 200 1000 2000 11 1 2 5 3
25 124 144 200 1000 2000 64 2 4 25 17 13
28 125 134 200 1000 2000 71 2 4 12 8 6
16 126 131 200 1000 2000 37 1 2 5 3
30 126 140 200 1000 2000 63 2 4 18 12 9
16 132 138 200 1000 2000 33 1 2 8 4
11 132 138 200 1000 2000 22 1 2 8 4
22 135 153 200 1000 2000 78 2 4 24 16 12
31 146 160 200 1000 2000 48 4 6 13 11 9
14 150 161 200 1000 2000 34 1 2 13 7
20 153 161 200 1000 2000 52 1 2 10 5
