Solution:
Vessel 1, length: 26, position: 95, start: 1, end: 8, ncranes: 3, cranes: 9 10 11
Vessel 2, length: 16, position: 2, start: 2, end: 7, ncranes: 3, cranes: 1 2 3
Vessel 3, length: 16, position: 34, start: 3, end: 12, ncranes: 5, cranes: 4 5 6 7 8
Vessel 4, length: 31, position: 59, start: 12, end: 21, ncranes: 5, cranes: 1 2 3 4 5
Vessel 5, length: 17, position: 90, start: 14, end: 24, ncranes: 5, cranes: 7 8 9 10 11
Vessel 6, length: 24, position: 74, start: 24, end: 30, ncranes: 5, cranes: 7 8 9 10 11
Vessel 7, length: 29, position: 1, start: 22, end: 37, ncranes: 3, cranes: 1 2 3
Vessel 8, length: 25, position: 49, start: 23, end: 30, ncranes: 3, cranes: 4 5 6
Vessel 9, length: 19, position: 30, start: 32, end: 39, ncranes: 3, cranes: 7 8 9
Vessel 10, length: 19, position: 91, start: 42, end: 50, ncranes: 4, cranes: 1 2 3 4
Vessel 11, length: 27, position: 74, start: 55, end: 61, ncranes: 5, cranes: 4 5 6 7 8
Vessel 12, length: 20, position: 101, start: 57, end: 73, ncranes: 3, cranes: 9 10 11
Vessel 13, length: 30, position: 36, start: 63, end: 71, ncranes: 5, cranes: 1 2 3 4 5
Vessel 14, length: 20, position: 38, start: 72, end: 79, ncranes: 5, cranes: 1 2 3 4 5
Vessel 15, length: 16, position: 65, start: 74, end: 85, ncranes: 3, cranes: 6 7 8
Vessel 16, length: 25, position: 96, start: 74, end: 81, ncranes: 3, cranes: 9 10 11
Vessel 17, length: 32, position: 1, start: 84, end: 93, ncranes: 5, cranes: 1 2 3 4 5
Vessel 18, length: 31, position: 11, start: 79, end: 84, ncranes: 5, cranes: 1 2 3 4 5
Vessel 19, length: 29, position: 88, start: 82, end: 90, ncranes: 3, cranes: 9 10 11
Vessel 20, length: 24, position: 33, start: 85, end: 95, ncranes: 3, cranes: 6 7 8
Vessel 21, length: 30, position: 63, start: 106, end: 115, ncranes: 3, cranes: 9 10 11
Vessel 22, length: 17, position: 46, start: 108, end: 115, ncranes: 4, cranes: 5 6 7 8
Vessel 23, length: 24, position: 22, start: 111, end: 123, ncranes: 4, cranes: 1 2 3 4
Vessel 24, length: 25, position: 96, start: 115, end: 130, ncranes: 3, cranes: 9 10 11
Vessel 25, length: 31, position: 65, start: 116, end: 125, ncranes: 4, cranes: 5 6 7 8
Vessel 26, length: 19, position: 70, start: 125, end: 135, ncranes: 4, cranes: 5 6 7 8
Vessel 27, length: 31, position: 34, start: 123, end: 128, ncranes: 4, cranes: 1 2 3 4
Vessel 28, length: 19, position: 12, start: 128, end: 135, ncranes: 4, cranes: 1 2 3 4
Vessel 29, length: 28, position: 89, start: 130, end: 137, ncranes: 3, cranes: 9 10 11
Vessel 30, length: 33, position: 56, start: 135, end: 148, ncranes: 3, cranes: 6 7 8
Vessel 31, length: 31, position: 25, start: 138, end: 146, ncranes: 5, cranes: 1 2 3 4 5
Vessel 32, length: 25, position: 31, start: 135, end: 138, ncranes: 5, cranes: 1 2 3 4 5
Vessel 33, length: 35, position: 1, start: 146, end: 156, ncranes: 4, cranes: 1 2 3 4
Vessel 34, length: 26, position: 90, start: 137, end: 148, ncranes: 3, cranes: 9 10 11
Vessel 35, length: 34, position: 87, start: 148, end: 161, ncranes: 3, cranes: 9 10 11
Vessel 36, length: 34, position: 36, start: 148, end: 156, ncranes: 4, cranes: 5 6 7 8
Vessel 37, length: 34, position: 4, start: 156, end: 163, ncranes: 5, cranes: 1 2 3 4 5
Vessel 38, length: 34, position: 38, start: 157, end: 172, ncranes: 3, cranes: 6 7 8
Vessel 39, length: 21, position: 7, start: 163, end: 167, ncranes: 5, cranes: 1 2 3 4 5
Vessel 40, length: 20, position: 18, start: 167, end: 173, ncranes: 4, cranes: 1 2 3 4
