Solution:
Vessel 1, length: 29, position: 25, start: 2, end: 10, ncranes: 5, cranes: 4 5 6 7 8
Vessel 2, length: 16, position: 9, start: 2, end: 17, ncranes: 3, cranes: 1 2 3
Vessel 3, length: 15, position: 94, start: 4, end: 16, ncranes: 3, cranes: 9 10 11
Vessel 4, length: 23, position: 36, start: 10, end: 14, ncranes: 5, cranes: 4 5 6 7 8
Vessel 5, length: 28, position: 36, start: 14, end: 17, ncranes: 5, cranes: 4 5 6 7 8
Vessel 6, length: 22, position: 33, start: 17, end: 20, ncranes: 4, cranes: 5 6 7 8
Vessel 7, length: 19, position: 9, start: 23, end: 30, ncranes: 5, cranes: 1 2 3 4 5
Vessel 8, length: 17, position: 7, start: 30, end: 39, ncranes: 3, cranes: 1 2 3
Vessel 9, length: 30, position: 27, start: 34, end: 43, ncranes: 4, cranes: 4 5 6 7
Vessel 10, length: 24, position: 78, start: 38, end: 49, ncranes: 4, cranes: 8 9 10 11
Vessel 11, length: 16, position: 62, start: 43, end: 51, ncranes: 4, cranes: 4 5 6 7
Vessel 12, length: 24, position: 38, start: 44, end: 51, ncranes: 3, cranes: 1 2 3
Vessel 13, length: 27, position: 78, start: 49, end: 53, ncranes: 3, cranes: 9 10 11
Vessel 14, length: 22, position: 42, start: 51, end: 60, ncranes: 5, cranes: 3 4 5 6 7
Vessel 15, length: 35, position: 42, start: 60, end: 69, ncranes: 5, cranes: 3 4 5 6 7
Vessel 16, length: 22, position: 77, start: 54, end: 63, ncranes: 4, cranes: 8 9 10 11
Vessel 17, length: 30, position: 12, start: 54, end: 70, ncranes: 2, cranes: 1 2
Vessel 18, length: 33, position: 81, start: 63, end: 70, ncranes: 4, cranes: 8 9 10 11
Vessel 19, length: 20, position: 86, start: 70, end: 78, ncranes: 4, cranes: 8 9 10 11
Vessel 20, length: 22, position: 57, start: 69, end: 78, ncranes: 4, cranes: 4 5 6 7
Vessel 21, length: 17, position: 1, start: 79, end: 85, ncranes: 3, cranes: 1 2 3
Vessel 22, length: 31, position: 18, start: 79, end: 85, ncranes: 5, cranes: 4 5 6 7 8
Vessel 23, length: 24, position: 22, start: 85, end: 88, ncranes: 4, cranes: 1 2 3 4
Vessel 24, length: 35, position: 47, start: 91, end: 103, ncranes: 3, cranes: 1 2 3
Vessel 25, length: 15, position: 82, start: 95, end: 99, ncranes: 5, cranes: 4 5 6 7 8
Vessel 26, length: 30, position: 86, start: 110, end: 118, ncranes: 3, cranes: 9 10 11
Vessel 27, length: 32, position: 43, start: 114, end: 122, ncranes: 5, cranes: 4 5 6 7 8
Vessel 28, length: 29, position: 9, start: 119, end: 126, ncranes: 3, cranes: 1 2 3
Vessel 29, length: 35, position: 38, start: 122, end: 133, ncranes: 3, cranes: 4 5 6
Vessel 30, length: 35, position: 83, start: 125, end: 131, ncranes: 5, cranes: 7 8 9 10 11
Vessel 31, length: 26, position: 8, start: 133, end: 138, ncranes: 5, cranes: 1 2 3 4 5
Vessel 32, length: 24, position: 71, start: 133, end: 139, ncranes: 3, cranes: 9 10 11
Vessel 33, length: 28, position: 93, start: 139, end: 146, ncranes: 3, cranes: 9 10 11
Vessel 34, length: 22, position: 7, start: 140, end: 149, ncranes: 3, cranes: 1 2 3
Vessel 35, length: 31, position: 62, start: 141, end: 146, ncranes: 3, cranes: 5 6 7
Vessel 36, length: 28, position: 64, start: 152, end: 159, ncranes: 5, cranes: 1 2 3 4 5
Vessel 37, length: 16, position: 97, start: 161, end: 169, ncranes: 5, cranes: 7 8 9 10 11
Vessel 38, length: 33, position: 64, start: 162, end: 165, ncranes: 5, cranes: 1 2 3 4 5
Vessel 39, length: 20, position: 51, start: 165, end: 172, ncranes: 5, cranes: 1 2 3 4 5
Vessel 40, length: 19, position: 93, start: 169, end: 181, ncranes: 3, cranes: 9 10 11
