Solution:
Vessel 1, length: 33, position: 60, start: 6, end: 14, ncranes: 3, cranes: 6 7 8 
Vessel 2, length: 24, position: 93, start: 6, end: 19, ncranes: 3, cranes: 9 10 11 
Vessel 3, length: 24, position: 17, start: 11, end: 19, ncranes: 5, cranes: 1 2 3 4 5 
Vessel 4, length: 25, position: 23, start: 20, end: 26, ncranes: 3, cranes: 1 2 3 
Vessel 5, length: 32, position: 49, start: 22, end: 27, ncranes: 3, cranes: 4 5 6 
Vessel 6, length: 35, position: 81, start: 23, end: 27, ncranes: 3, cranes: 8 9 10 
Vessel 7, length: 31, position: 70, start: 30, end: 38, ncranes: 5, cranes: 6 7 8 9 10 
Vessel 8, length: 34, position: 4, start: 40, end: 45, ncranes: 5, cranes: 1 2 3 4 5 
Vessel 9, length: 31, position: 28, start: 45, end: 54, ncranes: 4, cranes: 6 7 8 9 
Vessel 10, length: 34, position: 31, start: 56, end: 61, ncranes: 4, cranes: 3 4 5 6 
Vessel 11, length: 16, position: 105, start: 61, end: 77, ncranes: 3, cranes: 9 10 11 
Vessel 12, length: 23, position: 8, start: 62, end: 68, ncranes: 4, cranes: 1 2 3 4 
Vessel 13, length: 16, position: 67, start: 70, end: 79, ncranes: 5, cranes: 4 5 6 7 8 
Vessel 14, length: 24, position: 42, start: 76, end: 82, ncranes: 3, cranes: 1 2 3 
Vessel 15, length: 27, position: 66, start: 79, end: 86, ncranes: 5, cranes: 6 7 8 9 10 
Vessel 16, length: 29, position: 67, start: 86, end: 90, ncranes: 5, cranes: 7 8 9 10 11 
Vessel 17, length: 34, position: 30, start: 86, end: 92, ncranes: 5, cranes: 1 2 3 4 5 
Vessel 18, length: 35, position: 64, start: 90, end: 99, ncranes: 3, cranes: 9 10 11 
Vessel 19, length: 30, position: 28, start: 92, end: 97, ncranes: 5, cranes: 1 2 3 4 5 
Vessel 20, length: 26, position: 38, start: 97, end: 105, ncranes: 5, cranes: 3 4 5 6 7 
Vessel 21, length: 32, position: 3, start: 113, end: 124, ncranes: 4, cranes: 1 2 3 4 
Vessel 22, length: 30, position: 39, start: 115, end: 120, ncranes: 5, cranes: 7 8 9 10 11 
Vessel 23, length: 31, position: 68, start: 120, end: 130, ncranes: 4, cranes: 5 6 7 8 
Vessel 24, length: 22, position: 99, start: 120, end: 130, ncranes: 3, cranes: 9 10 11 
Vessel 25, length: 35, position: 22, start: 125, end: 129, ncranes: 3, cranes: 2 3 4 
Vessel 26, length: 17, position: 104, start: 130, end: 141, ncranes: 4, cranes: 8 9 10 11 
Vessel 27, length: 27, position: 1, start: 134, end: 150, ncranes: 3, cranes: 1 2 3 
Vessel 28, length: 35, position: 28, start: 139, end: 147, ncranes: 3, cranes: 4 5 6 
Vessel 29, length: 35, position: 86, start: 149, end: 157, ncranes: 3, cranes: 9 10 11 
Vessel 30, length: 18, position: 22, start: 150, end: 155, ncranes: 3, cranes: 1 2 3 
Vessel 31, length: 17, position: 69, start: 150, end: 154, ncranes: 5, cranes: 4 5 6 7 8 
Vessel 32, length: 27, position: 59, start: 154, end: 159, ncranes: 5, cranes: 4 5 6 7 8 
Vessel 33, length: 34, position: 59, start: 160, end: 165, ncranes: 5, cranes: 1 2 3 4 5 
Vessel 34, length: 28, position: 93, start: 161, end: 168, ncranes: 5, cranes: 7 8 9 10 11 
Vessel 35, length: 29, position: 92, start: 168, end: 178, ncranes: 5, cranes: 1 2 3 4 5 
